,track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Immigrant Song - Remaster,Led Zeppelin,0.013,0.564,146250,0.932,0.169,11,0.349,-10.068,1,0.0554,112.937,4,0.619
1,Stairway to Heaven - Remaster,Led Zeppelin,0.58,0.338,482830,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,4,0.197
2,Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.0484,0.412,333893,0.902,0.131,9,0.405,-11.6,1,0.405,89.74,4,0.422
3,Black Dog - Remaster,Led Zeppelin,0.396,0.437,295387,0.864,0.0314,4,0.242,-7.842,0,0.0904,81.394,4,0.749
4,Rock and Roll - Remaster,Led Zeppelin,0.000582,0.317,220561,0.887,0.00258,9,0.0891,-7.292,1,0.0375,169.613,4,0.871
5,Good Times Bad Times - 1993 Remaster,Led Zeppelin,0.0382,0.476,166267,0.717,7.61e-05,9,0.0818,-9.192,1,0.0949,93.584,4,0.753
6,Ramble On - 1990 Remaster,Led Zeppelin,0.072,0.468,263333,0.607,0.000852,9,0.225,-11.367,1,0.0336,98.429,4,0.886
7,Kashmir - Remaster,Led Zeppelin,0.452,0.483,517125,0.615,0.000414,2,0.0512,-8.538,1,0.0497,80.576,3,0.594
8,Going to California - Remaster,Led Zeppelin,0.943,0.503,212161,0.265,0.045,2,0.0867,-15.913,1,0.0333,78.044,4,0.522
9,Over the Hills and Far Away - Remaster,Led Zeppelin,0.0679,0.402,290934,0.691,0.133,7,0.0955,-10.274,1,0.0691,96.95,4,0.206
