,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,"('Immigrant Song - Remaster', 'Led Zeppelin')","('Little Wing', 'Jimi Hendrix')","('Crosstown Traffic', 'Jimi Hendrix')","('Break on Through (To the Other Side)', 'The Doors')","('Outside Woman Blues', 'Cream')","('SWLABR', 'Cream')","('Call On Me', 'Janis Joplin')","('Newborn Awakening', 'Jim Morrison')","('Magic Carpet Ride - Mathclub Remix', 'Steppenwolf')","(""Don't Let Me Be Misunderstood"", 'The Animals')","('Baby Let Me Take You Home', 'The Animals')",,,,,,,
0,"('Stairway to Heaven - Remaster', 'Led Zeppelin')","('Riders on the Storm', 'The Doors')","('Light My Fire', 'The Doors')","('L.A. Woman', 'The Doors')","(""War Pigs / Luke's Wall - 2012 - Remaster"", 'Black Sabbath')","('Heaven and Hell - 2008 Remaster', 'Black Sabbath')","(""Tuesday's Gone"", 'Lynyrd Skynyrd')","('Sweet Sounds Of Heaven (feat. Lady Gaga & Stevie Wonder)', 'The Rolling Stones')","('Time', 'Pink Floyd')","('Working Man', 'Rush')","('No More Tears', 'Ozzy Osbourne')",,,,,,,
5,"('Whole Lotta Love - 1990 Remaster', 'Led Zeppelin')","('Smoke on the Water', 'Deep Purple')","('Eminence Front', 'The Who')","('Wish You Were Here', 'Pink Floyd')","('Subdivisions', 'Rush')","(""Don't Step On The Grass, Sam"", 'Steppenwolf')","('Blow Up The Outside World', 'Soundgarden')",,,,,,,,,,,
11,"('Black Dog - Remaster', 'Led Zeppelin')","('Over the Hills and Far Away - Remaster', 'Led Zeppelin')","(""Baba O'Riley"", 'The Who')","('White Room', 'Cream')","('The Ballad Of Curtis Loew', 'Lynyrd Skynyrd')","('Miss You - Remastered', 'The Rolling Stones')","('Rough Boy', 'ZZ Top')","('The Spirit Of Radio', 'Rush')","('Crazy Train', 'Ozzy Osbourne')","('Mr. Crowley', 'Ozzy Osbourne')","('Hellraiser - 30th Anniversary Edition', 'Ozzy Osbourne')","('29 Palms - 2006 Remaster', 'Robert Plant')","('Ship of Fools - 2006 Remaster', 'Robert Plant')","('Burden In My Hand', 'Soundgarden')","('Veteran of the Psychic Wars', 'Blue Öyster Cult')",,,
6,"('Rock and Roll - Remaster', 'Led Zeppelin')","('Behind Blue Eyes', 'The Who')","('Maybe', 'Janis Joplin')","(""(I Can't Get No) Satisfaction - Mono Version"", 'The Rolling Stones')","('Can’t Let Go', 'Robert Plant')","('Rock Me', 'Steppenwolf')","('As the Crow Flies', 'The Animals')","('Godzilla', 'Blue Öyster Cult')",,,,,,,,,,
4,"('Good Times Bad Times - 1993 Remaster', 'Led Zeppelin')","('Purple Haze', 'Jimi Hendrix')","('Castles Made of Sand', 'Jimi Hendrix')","('Peace Frog', 'The Doors')","('Squeeze Box', 'The Who')","('Paranoid - 2012 - Remaster', 'Black Sabbath')","('Strange Brew', 'Cream')","('I Feel Free', 'Cream')","('Tales Of Brave Ulysses', 'Cream')","('Badge', 'Cream')","(""Waitin' for the Bus - 2006 Remaster"", 'ZZ Top')","('Breathe (In the Air)', 'Pink Floyd')","('You Really Got Me - 2015 Remaster', 'Van Halen')","('Ghost Song', 'Jim Morrison')","('Closer To The Heart', 'Rush')","('Berry Rides Again', 'Steppenwolf')","('Hunted Down - Remastered', 'Soundgarden')","('Bring It On Home To Me', 'The Animals')"
17,"('Ramble On - 1990 Remaster', 'Led Zeppelin')","('Planet Caravan - 2012 - Remaster', 'Black Sabbath')","('Gimme Three Steps', 'Lynyrd Skynyrd')","('Beast Of Burden - Remastered 1994', 'The Rolling Stones')","('Just Got Paid', 'ZZ Top')","('YYZ', 'Rush')","('Rusty Cage - Remastered', 'Soundgarden')",,,,,,,,,,,
19,"('Kashmir - Remaster', 'Led Zeppelin')","('Child in Time', 'Deep Purple')","(""Won't Get Fooled Again - Original Album Version"", 'The Who')","('Free Bird', 'Lynyrd Skynyrd')",,,,,,,,,,,,,,
14,"('Going to California - Remaster', 'Led Zeppelin')","('When a Blind Man Cries - B-Side; 2012 Remaster', 'Deep Purple')","(""What's Your Name"", 'Lynyrd Skynyrd')","('Start Me Up - Remastered 2009', 'The Rolling Stones')","('Gone Gone Gone (Done Moved On)', 'Robert Plant')","('Born To Be Wild - Single Version', 'Steppenwolf')",,,,,,,,,,,,
8,"('All Along the Watchtower', 'Jimi Hendrix')","('Roadhouse Blues', 'The Doors')","('Cry Baby', 'Janis Joplin')","('Summertime', 'Janis Joplin')","(""Gimme All Your Lovin'"", 'ZZ Top')","('Another Brick in the Wall, Pt. 2', 'Pink Floyd')","('Jump - 2015 Remaster', 'Van Halen')","(""I Don't Wanna Stop"", 'Ozzy Osbourne')","('Rich Woman', 'Robert Plant')","('Spoonman', 'Soundgarden')","('Cities On Flame with Rock and Roll', 'Blue Öyster Cult')",,,,,,,
